City_ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
0,4513583,Hamilton,US,39.1834,-84.5333,54.48,71,90,5.75
1,3932145,Pisco,PE,-13.7,-76.2167,80.1,51,40,13.8
2,2022572,Khatanga,RU,71.9667,102.5,-43.89,97,51,10.31
3,3366880,Hermanus,ZA,-34.4187,19.2345,62.01,87,20,1.99
4,4030556,Rikitea,PF,-23.1203,-134.9692,80.31,75,60,10.11
5,2074865,Carnarvon,AU,-24.8667,113.6333,78.8,83,40,11.5
6,1650434,Bambanglipuro,ID,-7.95,110.2833,75.29,87,6,2.82
7,2163355,Hobart,AU,-42.8794,147.3294,51.03,87,20,9.22
8,5848280,Kapaa,US,22.0752,-159.319,69.6,94,90,24.16
9,2336589,Jalingo,NG,8.8833,11.3667,85.01,37,100,4.34
10,3372707,Ribeira Grande,PT,38.5167,-28.7,62.6,94,40,16.11
11,1015776,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,16,2.3
12,1529195,Shihezi,CN,44.3,86.0333,20.88,93,93,3.58
13,3430863,Mar del Plata,AR,-38.0023,-57.5575,65.7,100,90,5.75
14,3874787,Punta Arenas,CL,-53.15,-70.9167,50.0,57,75,25.32
15,6201424,Mataura,NZ,-46.1927,168.8643,55.99,74,100,14.0
16,3443061,Chui,UY,-33.6971,-53.4616,72.63,87,91,10.6
17,4035715,Avarua,CK,-21.2078,-159.775,82.4,78,75,11.5
18,5106841,Albany,US,42.6001,-73.9662,32.34,27,99,5.23
19,4020109,Atuona,PF,-9.8,-139.0333,80.4,66,1,11.36
20,5880054,Barrow,US,71.2906,-156.7887,1.4,71,90,20.71
21,1586443,Ca Mau,VN,9.1769,105.15,71.08,93,7,2.26
22,5962442,Goderich,CA,43.7501,-81.7165,35.6,69,82,5.75
23,2645988,Ivybridge,GB,50.3904,-3.9191,46.27,79,17,7.49
24,2014624,Udachny,RU,66.4167,112.4,-31.94,93,15,3.8
25,2110227,Butaritari,KI,3.0707,172.7902,81.16,77,70,14.0
26,3831208,Qaanaaq,GL,77.484,-69.3632,1.81,73,98,3.69
27,1718517,Caramay,PH,10.1815,119.236,77.11,87,50,1.95
28,4032243,Vaini,TO,-21.2,-175.2,77.0,78,20,8.05
29,6165406,Thompson,CA,55.7435,-97.8558,32.0,29,20,13.8
30,3833367,Ushuaia,AR,-54.8,-68.3,46.4,66,40,29.93
31,487928,Novikovo,RU,51.1537,37.8879,31.75,76,99,11.32
32,3985710,Cabo San Lucas,MX,22.8909,-109.9124,79.38,22,1,8.05
33,5924351,Clyde River,CA,70.4692,-68.5914,-9.4,59,20,5.75
34,3109718,Santander,ES,43.4647,-3.8044,51.76,87,40,4.61
35,1106643,Quatre Cocos,MU,-20.2078,57.7625,78.4,78,75,8.05
36,2173125,Burnie,AU,-41.0667,145.9167,59.0,69,64,10.0
37,471501,Vostochnyy,RU,55.8167,37.8667,32.72,93,90,4.47
38,5122534,Jamestown,US,42.097,-79.2353,39.11,70,75,6.46
39,2017155,Saskylakh,RU,71.9167,114.0833,-41.24,96,90,8.66
40,2013727,Vanavara,RU,60.34,102.2797,12.16,93,98,8.81
41,2206939,Bluff,NZ,-46.6,168.3333,55.99,74,87,14.0
42,2416061,Sanguéya,GN,10.7,-14.3667,70.27,80,44,3.13
43,6620339,Karratha,AU,-20.7377,116.8463,81.23,60,52,4.52
44,546105,Nikolskoye,RU,59.7035,30.7861,27.57,93,0,2.73
45,4013679,Coahuayana Viejo,MX,18.7333,-103.6833,82.4,100,20,9.22
46,1797117,Rongcheng,CN,30.634,117.8517,51.67,93,100,6.2
47,3372964,Lagoa,PT,39.05,-27.9833,60.17,90,95,26.87
48,2098329,Daru,PG,-9.0763,143.2092,77.95,87,100,7.2
49,1337607,Kudahuvadhoo,MV,2.6708,72.8944,82.31,74,15,11.07
50,110690,Faya,SA,18.3851,42.4509,62.58,59,0,2.42
51,3418910,Upernavik,GL,72.7868,-56.1549,0.28,95,100,5.19
52,4031574,Provideniya,RU,64.3833,-173.3,6.8,78,90,13.42
53,2122614,Okha,RU,53.5739,142.9478,14.56,79,100,14.81
54,5563839,Fortuna,US,40.5982,-124.1573,50.58,53,1,11.5
55,3416888,Grindavik,IS,63.8424,-22.4338,42.8,100,90,17.27
56,934322,Mahébourg,MU,-20.4081,57.7,78.8,78,75,8.05
57,2068110,Kununurra,AU,-15.7667,128.7333,77.0,88,98,4.61
58,2094342,Kavieng,PG,-2.5744,150.7967,81.34,77,98,10.98
59,1633419,Padang,ID,-0.9492,100.3543,75.81,93,100,1.57
60,1122464,Taywarah,AF,33.35,64.4167,37.44,49,80,2.82
61,2426370,Umm Hājar,TD,13.2954,19.6966,83.52,14,99,6.53
62,6185377,Yellowknife,CA,62.456,-114.3525,13.15,52,20,9.22
63,935215,Saint-Philippe,RE,-21.3585,55.7679,72.88,73,0,5.75
64,5882953,Aklavik,CA,68.2191,-135.0107,-5.8,71,64,2.3
65,3652764,Puerto Ayora,EC,-0.7393,-90.3518,81.52,78,20,10.36
66,2027296,Aykhal,RU,66.0,111.5,-27.94,96,78,6.49
67,3374210,São Filipe,CV,14.8961,-24.4956,72.54,69,0,12.21
68,5354943,Half Moon Bay,US,37.4636,-122.4286,54.55,47,75,14.97
69,2126123,Chokurdakh,RU,70.6333,147.9167,-25.15,85,0,8.48
70,2075265,Busselton,AU,-33.65,115.3333,64.0,63,0,3.8
71,535839,Leshukonskoye,RU,64.8989,45.7622,21.13,96,97,3.15
72,2446796,Bilma,NE,18.6853,12.9164,79.2,14,29,11.01
73,1651591,Amahai,ID,-3.3333,128.9167,81.0,91,93,4.59
74,863061,Usinsk,RU,65.9939,57.5281,22.42,97,100,2.55
75,6111862,Port Hardy,CA,50.6996,-127.4199,43.9,70,90,13.8
76,1282256,Hithadhoo,MV,-0.6,73.0833,82.06,71,72,6.67
77,921900,Dzaoudzi,YT,-12.7887,45.2699,80.6,83,0,4.61
78,5911745,Burns Lake,CA,54.2331,-125.7533,37.4,56,100,5.75
79,1651810,Airai,TL,-8.9266,125.4092,59.58,85,49,1.74
80,362973,Abnūb,EG,27.2696,31.1511,62.6,59,0,11.5
81,2112802,Hasaki,JP,35.7333,140.8333,44.42,81,20,2.3
82,2112444,Kamaishi,JP,39.2667,141.8833,38.35,69,69,15.66
83,1295765,Sittwe,MM,20.15,92.9,69.76,68,0,6.49
84,3461724,Gurupi,BR,-11.7292,-49.0686,77.09,80,78,4.54
85,2180815,Tuatapere,NZ,-46.1333,167.6833,55.99,74,100,14.0
86,1276449,Berasia,IN,23.6333,77.4333,73.36,27,17,4.32
87,2036973,Heihe,CN,50.2441,127.4902,17.6,45,20,4.47
88,4956335,Yarmouth,US,41.7057,-70.2286,32.02,37,20,10.36
89,4033543,Teahupoo,PF,-17.8333,-149.2667,87.4,66,40,3.44
90,1244926,Hambantota,LK,6.1241,81.1185,76.23,85,82,11.86
91,2123814,Leningradskiy,RU,69.3833,178.4167,-0.6,95,100,13.35
92,2208248,Kaitangata,NZ,-46.2817,169.8464,55.99,67,100,11.01
93,4031742,Egvekinot,RU,66.3167,-179.1667,-7.47,94,99,4.27
94,3460148,Januária,BR,-15.4833,-44.3667,73.6,67,64,1.16
95,155274,Mahenge,TZ,-8.6833,36.7167,63.59,95,30,1.57
96,3927023,Totoral,PE,-17.4053,-70.365,62.96,82,100,6.33
97,2127202,Anadyr,RU,64.75,177.4833,-4.0,77,20,13.42
98,6316343,Alta Floresta,BR,-9.8756,-56.0861,77.04,85,80,1.41
99,2171099,Codrington,AU,-38.2667,141.9667,60.66,83,0,8.88
100,5847411,Kahului,US,20.8947,-156.47,73.58,78,40,14.97
101,5288636,Casa Grande,US,32.8795,-111.7573,57.63,28,1,5.75
102,1735106,George Town,MY,5.4112,100.3354,79.27,78,20,2.3
103,1488429,Uray,RU,60.1247,64.7758,22.19,92,78,11.32
104,5110365,Broome,US,42.2506,-75.833,29.37,74,90,6.91
105,964432,Port Alfred,ZA,-33.5906,26.891,66.0,89,97,8.1
106,6167817,Torbay,CA,47.6666,-52.7314,26.13,80,90,21.85
107,2738381,Lata,PT,40.1629,-8.3327,55.11,58,0,6.91
108,1788852,Xining,CN,36.6167,101.7667,37.53,46,80,3.11
109,1487277,Verkhnyaya Salda,RU,58.0456,60.5533,20.89,88,100,9.95
110,1687894,Santa Rosa,PH,14.3122,121.1114,79.84,89,75,2.3
111,2015306,Tiksi,RU,71.6872,128.8694,-14.64,98,100,3.36
112,107304,Buraidah,SA,26.326,43.975,78.8,50,40,16.11
113,3424607,Tasiilaq,GL,65.6145,-37.6368,24.8,86,90,27.63
114,3839307,Rawson,AR,-43.3002,-65.1023,55.69,63,93,27.72
115,1516589,Zhezkazgan,KZ,47.8043,67.7144,5.88,69,0,4.47
116,3369157,Cape Town,ZA,-33.9258,18.4232,64.87,68,20,21.85
117,2112309,Katsuura,JP,35.1333,140.3,53.22,50,20,12.66
118,2071860,Esperance,AU,-33.8667,121.9,60.8,72,81,17.27
119,1067565,Beloha,MG,-25.1667,45.05,75.6,74,0,9.19
120,5380437,Pacific Grove,US,36.6177,-121.9166,53.11,54,40,6.91
121,6050066,La Ronge,CA,55.1001,-105.2842,41.0,24,0,8.05
122,3466704,Castro,BR,-24.7911,-50.0119,68.22,83,9,3.29
123,2176639,Batemans Bay,AU,-35.7167,150.1833,58.75,88,99,3.0
124,4160021,Jacksonville,US,30.3322,-81.6556,80.76,48,75,9.22
125,6355222,Yulara,AU,-25.2406,130.9889,57.2,44,100,8.05
126,2122090,Pevek,RU,69.7008,170.3133,-4.94,95,100,9.13
127,456827,Pāvilosta,LV,56.8879,21.1859,31.01,93,90,3.44
128,866062,Iskateley,RU,67.6803,53.1512,11.34,95,100,4.68
129,2264557,Ponta do Sol,PT,32.6667,-17.1,57.85,59,20,17.27
130,2070998,Geraldton,AU,-28.7667,114.6,69.8,88,40,3.44
131,2063036,Port Lincoln,AU,-34.7333,135.8667,62.83,89,21,8.93
132,3445026,Vila Velha,BR,-20.3297,-40.2925,79.75,74,0,13.8
133,1649150,Bengkulu,ID,-3.8004,102.2655,74.5,84,89,3.65
134,5282297,Bethel,US,41.3712,-73.414,32.52,43,100,5.57
135,2510407,Toledo,ES,39.8333,-4.0,55.99,45,0,17.11
136,3137469,Sørland,NO,67.667,12.6934,28.4,86,0,2.3
137,3182700,Atessa,IT,42.0693,14.4511,40.44,65,63,8.05
138,2013465,Verkhoyansk,RU,67.5447,133.385,-7.55,80,98,4.68
139,6089245,Norman Wells,CA,65.282,-126.8329,-4.0,65,75,3.44
140,1337613,Kulhudhuffushi,MV,6.6221,73.07,82.74,64,15,3.44
141,2157698,Mildura,AU,-34.2,142.15,57.2,72,2,4.61
142,5546220,Saint George,US,37.1041,-113.5841,45.75,61,90,4.61
143,2643339,Luton,GB,51.8797,-0.4175,43.72,76,57,18.41
144,5594956,Hailey,US,43.5196,-114.3153,46.4,46,40,5.75
145,1529484,Kumul,CN,42.8,93.45,36.7,50,21,1.59
146,2122493,Omsukchan,RU,62.5333,155.8,-2.92,92,53,5.3
147,1235846,Matara,LK,5.9485,80.5353,75.43,88,90,4.5
148,2630299,Hofn,IS,64.2539,-15.2082,42.13,68,80,3.29
149,4588165,Mt. Pleasant,US,32.7941,-79.8626,57.92,82,20,4.56
150,1819729,Hong Kong,HK,22.2855,114.1577,70.16,88,5,6.2
151,3156980,Florø,NO,61.5996,5.0328,37.4,75,75,6.91
152,3354071,Oranjemund,NA,-28.55,16.4333,62.13,93,5,5.77
153,1028918,Pemba,MZ,-12.974,40.5178,78.4,89,20,3.44
154,64814,Bandarbeyla,SO,9.4942,50.8122,77.58,81,66,11.77
155,3355672,Lüderitz,NA,-26.6481,15.1594,63.36,83,0,12.06
156,3440777,Rocha,UY,-34.4833,-54.3333,72.81,80,84,8.52
157,4036284,Alofi,NU,-19.0595,-169.9187,84.2,74,40,8.05
158,2101169,Aitape,PG,-3.1374,142.3475,78.53,85,59,6.08
159,3047967,Mohács,HU,45.9931,18.6831,39.2,70,0,18.41
160,3423146,Ilulissat,GL,69.2167,-51.1,10.4,72,75,8.05
161,1006984,East London,ZA,-33.0153,27.9116,69.96,75,79,6.38
162,6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,2.3
163,2121385,Severo-Kuril'sk,RU,50.6789,156.125,34.61,98,100,10.49
164,2027044,Batagay,RU,67.6333,134.6333,-11.09,87,100,6.15
165,513329,Ozinki,RU,51.1786,49.6769,14.79,89,91,15.77
166,119161,Qorveh,IR,35.1664,47.8045,45.28,61,26,5.55
167,2986626,Plouzané,FR,48.3833,-4.6167,49.44,93,90,11.5
168,3869716,Tocopilla,CL,-22.092,-70.1979,70.65,77,36,9.24
169,2194098,Ahipara,NZ,-35.1667,173.1667,65.91,65,14,10.54
170,1308522,Monywa,MM,22.1167,95.1333,72.25,29,0,3.67
171,2802817,Baarle-Hertog,BE,51.4041,4.8916,41.0,93,90,4.61
172,1265143,Lālsot,IN,26.5667,76.3333,75.2,35,40,4.61
173,2012530,Zhigansk,RU,66.7697,123.3711,-13.11,91,48,8.75
174,2155415,New Norfolk,AU,-42.7826,147.0587,50.4,79,69,1.68
175,2037485,Erenhot,CN,43.6475,111.9767,27.91,21,24,3.15
176,3667402,Tarazá,CO,7.5836,-75.4007,82.35,85,97,0.69
